ven_d,model_d,tac_d
htc,desire 320 0pf1200,35503706
cubot,j3,35791009
blu,studio 55 hd,35828407
micromax,canvas fire 5 q386,91150785
blu,studio c hd,35655607
samsung,galaxy mega 63 4g shve310k,35641705
philips,w920,86965000
videocon,infinium z55 krypton,91148530
samsung,galaxy core prime lte smg360g1,35687606
htc,windows phone 8s c620e,35493005
blu,life pure l240a l240i,35195306
huawei,c8818,86009903
samsung,galaxy premier gti9268,35428605
htc,sensation pi42100,35158205
cubot,cheetah,35906507
lg,viper ls840,99000074
huawei,y635 lte dual y635cl00,86012103
samsung,gear s3 frontier smr765t,35251908
asus,zenfone 4 ze554kl z01ks,35838908
micromax,bolt a082,91137350
blackview,a20 pro,35172910
asus,zenfone ar a002 zs571kl,35457908
philips,e120,86968302
huawei,ascend y101 u81867,86375901
iball,king2 18b,91143125
samsung,galaxy a8 kddi scv32,35491207
